Size, Seq, Par, Libc
100, 0.000010, 0.018448, 0.000013
100, 0.000010, 0.010069, 0.000012
100, 0.000010, 0.003771, 0.000013
100, 0.000010, 0.016250, 0.000017
100, 0.000011, 0.019127, 0.000013
100, 0.000011, 0.023113, 0.000013
100, 0.000014, 0.009038, 0.000013
100, 0.000013, 0.021438, 0.000013
100, 0.000012, 0.004077, 0.000012
100, 0.000010, 0.004455, 0.000011
100, 0.000013, 0.003967, 0.000012
100, 0.000013, 0.022482, 0.000013
100, 0.000013, 0.006232, 0.000013
100, 0.000013, 0.006308, 0.000013
100, 0.000011, 0.020531, 0.000013
100, 0.000012, 0.008291, 0.000012
100, 0.000013, 0.004856, 0.000012
100, 0.000012, 0.019351, 0.000016
100, 0.000011, 0.021715, 0.000013
100, 0.000010, 0.004508, 0.000013
100, 0.000013, 0.004013, 0.000013
100, 0.000012, 0.004011, 0.000013
100, 0.000012, 0.005870, 0.000013
100, 0.000011, 0.018165, 0.000013
100, 0.000011, 0.004241, 0.000012
100, 0.000011, 0.004061, 0.000013
100, 0.000011, 0.003925, 0.000012
100, 0.000013, 0.017994, 0.000017
100, 0.000011, 0.004741, 0.000016
100, 0.000013, 0.007248, 0.000012
1000, 0.000153, 0.027474, 0.000193
1000, 0.000149, 0.059193, 0.000191
1000, 0.000161, 0.047284, 0.000189
1000, 0.000149, 0.061027, 0.000195
1000, 0.000147, 0.053939, 0.000195
1000, 0.000151, 0.025012, 0.000192
1000, 0.000152, 0.019413, 0.000193
1000, 0.000157, 0.029520, 0.000191
1000, 0.000148, 0.035765, 0.000193
1000, 0.000154, 0.030285, 0.000194
1000, 0.000150, 0.021314, 0.000193
1000, 0.000151, 0.039101, 0.000194
1000, 0.000149, 0.031023, 0.000181
1000, 0.000150, 0.024389, 0.000193
1000, 0.000149, 0.052919, 0.000193
1000, 0.000153, 0.046849, 0.000193
1000, 0.000151, 0.036761, 0.000193
1000, 0.000153, 0.028763, 0.000190
1000, 0.000146, 0.026211, 0.000195
1000, 0.000156, 0.051564, 0.000194
1000, 0.000154, 0.016515, 0.000189
1000, 0.000155, 0.020761, 0.000195
1000, 0.000153, 0.028100, 0.000192
1000, 0.000150, 0.019809, 0.000191
1000, 0.000150, 0.009637, 0.000192
1000, 0.000159, 0.025953, 0.000201
1000, 0.000156, 0.040923, 0.000191
1000, 0.000158, 0.027880, 0.000191
1000, 0.000155, 0.021976, 0.000195
1000, 0.000159, 0.016304, 0.000194
10000, 0.002159, 0.056409, 0.001650
10000, 0.002151, 0.025305, 0.001653
10000, 0.002132, 0.063512, 0.001761
10000, 0.002119, 0.060541, 0.001884
10000, 0.002101, 0.106646, 0.002158
10000, 0.001967, 0.053291, 0.001649
10000, 0.002120, 0.042714, 0.001698
10000, 0.002148, 0.072954, 0.001666
10000, 0.002174, 0.034246, 0.001686
10000, 0.002147, 0.021750, 0.001649
10000, 0.002148, 0.060785, 0.001682
10000, 0.002133, 0.045406, 0.001659
10000, 0.002134, 0.047036, 0.001656
10000, 0.002130, 0.065388, 0.001642
10000, 0.002153, 0.031682, 0.001658
10000, 0.002153, 0.043585, 0.001638
10000, 0.002142, 0.058510, 0.002163
10000, 0.002333, 0.019256, 0.001638
10000, 0.002118, 0.081591, 0.001665
10000, 0.002133, 0.047318, 0.001645
10000, 0.002139, 0.042892, 0.001713
10000, 0.002156, 0.064573, 0.001643
10000, 0.002136, 0.050900, 0.001641
10000, 0.002141, 0.052142, 0.001642
10000, 0.002132, 0.051339, 0.001665
10000, 0.002138, 0.047016, 0.001658
10000, 0.001658, 0.047623, 0.001636
10000, 0.002148, 0.072576, 0.001683
10000, 0.001775, 0.032647, 0.001655
10000, 0.002137, 0.023120, 0.001656
100000, 0.019584, 0.067829, 0.019785
100000, 0.019182, 0.084221, 0.020044
100000, 0.018768, 0.075053, 0.021057
100000, 0.024367, 0.133295, 0.089591
100000, 0.080026, 0.180657, 0.094241
100000, 0.083041, 0.179234, 0.088255
100000, 0.083448, 0.186321, 0.081375
100000, 0.088039, 0.181944, 0.094151
100000, 0.078780, 0.137195, 0.081821
100000, 0.078960, 0.201327, 0.101636
100000, 0.083611, 0.150600, 0.081311
100000, 0.082931, 0.219040, 0.098801
100000, 0.084736, 0.173253, 0.081925
100000, 0.083284, 0.227054, 0.085486
100000, 0.111358, 0.192243, 0.083171
100000, 0.090102, 0.212000, 0.082238
100000, 0.099021, 0.159210, 0.081557
100000, 0.085535, 0.223196, 0.106812
100000, 0.086051, 0.165122, 0.081804
100000, 0.081110, 0.228281, 0.095791
100000, 0.090383, 0.193794, 0.081779
100000, 0.081848, 0.221478, 0.096788
100000, 0.081088, 0.159550, 0.081648
100000, 0.084589, 0.187258, 0.084184
100000, 0.090532, 0.177610, 0.081251
100000, 0.087332, 0.186630, 0.082859
100000, 0.084180, 0.176678, 0.082965
100000, 0.082635, 0.177027, 0.087650
100000, 0.088063, 0.184939, 0.081605
100000, 0.025761, 0.058137, 0.019693
1000000, 0.243371, 0.168821, 0.238558
1000000, 0.240385, 0.171729, 0.235958
1000000, 0.230702, 0.166213, 0.235353
1000000, 1.040081, 0.632939, 1.028781
1000000, 1.010976, 0.620339, 1.062880
1000000, 1.059576, 0.637337, 0.996922
1000000, 0.279867, 0.158820, 0.232642
1000000, 0.235158, 0.157719, 0.236498
1000000, 0.240088, 0.185165, 0.237147
1000000, 0.553599, 0.628243, 0.984667
1000000, 1.039231, 0.635197, 1.028962
1000000, 1.234533, 0.699671, 1.116889
1000000, 1.102257, 0.647065, 1.047424
1000000, 1.079388, 0.638701, 1.036902
1000000, 1.006132, 0.606578, 0.993700
1000000, 0.978711, 0.475684, 0.232068
1000000, 0.225559, 0.197834, 0.236811
1000000, 0.237342, 0.157653, 0.231391
1000000, 0.240987, 0.156217, 0.751522
1000000, 1.164986, 0.626368, 0.993612
1000000, 0.998342, 0.688670, 0.984499
1000000, 0.976710, 0.623833, 0.992676
1000000, 0.968660, 0.546668, 0.230234
1000000, 0.227171, 0.165339, 0.229189
1000000, 0.236510, 0.184476, 0.230455
1000000, 0.231237, 0.167030, 0.626329
1000000, 0.985823, 0.619291, 0.995135
1000000, 1.011623, 0.600962, 0.992058
1000000, 0.959409, 0.632526, 0.993809
1000000, 1.031481, 0.627284, 0.994362
